idCustomer;PointsCustomer;flEmail
a891a2e7-99ea-4ab5-bd80-35644f6e7783;102;0
24782f0b-4683-4f35-976a-ea21d6714ba6;586;0
d7b97274-6212-4b52-b9e3-0745f63ac670;351;0
d94a6d45-c4ee-4bff-b4f8-c5c92a3c5533;0;0
12309bac-c268-4a7d-bbf7-bd72fd26c20a;504;0
9c909d1e-fa2a-47b0-8535-d9e44375f9f8;1514;0
da3cdc78-02e2-400c-9f17-2cbe3ab73d8c;1132;0
58762d57-2972-4551-aac9-7c13591bcae0;52;0
d7e7349c-f8c9-4ffe-9064-4b4f46b937a5;55;0
cd947145-9446-445a-b3cc-33b6d0e84f46;53;0
a3535a88-01fa-4788-963b-a39fc267ce4d;53;0
ed84a208-e90a-4372-bc4c-be0e0bb4e8a4;478;0
8cf8e162-bcf1-4a68-9ea5-44ec75484734;1782;0
8ad464d3-551c-4af1-beec-c5e19061e127;454;0
d0b29e73-8bcb-4999-8f7f-53a74a1fddf1;59;0
bea8db84-89c0-4620-8d8a-cd8bd8969485;0;0
5f4d8504-0533-45f4-a4ac-0dc614a2c318;9;0
70459139-705a-47b5-a8d3-97d1db1d6565;340;0
a32f0760-1d8a-4693-bcbc-5ea4dc4bf997;0;0
6703199b-66fd-46ce-991c-990ee721755b;0;0
467b4896-20e3-454d-a88b-f65d6fed0bc0;101;0
d94f1c09-e02a-4f1d-9a0f-ac35a459f2aa;59;0
200e262d-74f4-439f-88fb-0cccd122a3a5;956;0
64343fda-f940-4733-9cda-49d3e14f0362;306;0
b7a4bd03-8107-4852-b343-f464e380ef4f;551;0
6e81c9f9-e511-45c4-bee7-c22b7c0e9ba5;613;0
b5293a45-7a59-46e0-97fd-af3ecd159537;54;0
f9c499cf-c6c7-48f4-9dbe-1a1e6c20205c;51;0
c03280e1-0586-460d-a1fa-245798b5e30b;356;0
9f33c095-0c1a-4351-bac4-8fe72dc16716;107;0
d7a6e3cc-b344-4234-9cd3-1ae3d9772eb2;573;0
5ae33296-4d38-4786-b02d-777e3f894cb7;280;0
7a6fcb1b-b6dc-4541-9b11-79931181215c;8;0
01f3a765-a092-4999-be4b-98fc5404653b;1;0
161bf8aa-33f9-42a3-b48f-97199c8370d1;466;0
6dd76604-2c74-4e26-874a-94bf0df7f97a;790;1
2ee53164-1ee9-4e17-9277-b3f158e48e7f;1150;0
6abc3e4e-30db-4bce-ba94-9b9c811538c9;254;0
044e95f2-8756-42bd-a0a3-d50708beb8da;1510;0
dc48fa97-9786-438d-91f9-77e6262dea42;66;0
444e5a23-d896-49b1-929d-4c5cb4b2c232;50;0
131eedc9-fc22-4f49-840d-701b18f5c09a;311;0
1f42436f-9108-453f-ba5f-74f00d20240f;409;0
04c0099a-17fc-4535-88c0-36251c16b582;57;0
86239e60-14f7-48b0-ba37-062fe97b2034;149;0
384448b7-3b0c-462c-b2f9-d3a3b2ace4cc;113;0
2625a00f-9aaf-4605-9baa-366c5e18a095;182;0
2a97ac6e-b50c-4ffa-86a4-80c16f7ee972;109;0
b1ae9536-c6e4-4b88-a852-1561341c092c;104;0
012bc897-e45c-4e6a-a742-7e00fa2e59e5;51;0
efb1074c-2789-461c-9b29-5dad22727fbe;50;0
d9464c76-9d2d-42af-86a1-955880d98f5a;242;0
3e9a2bf8-e09f-4417-9ff2-5a65fd1de2ad;190;0
3671c38c-109f-4dfb-ae09-aa7667b1c597;56;0
4b663b17-fb72-4880-b83c-f08f1ec82fc5;948;0
bb1ab728-1590-4340-b2a1-57f28fb9ab66;60;0
10d18590-4365-465c-8174-311c38d3a548;1733;0
d27f73a2-e9af-4a5a-bd5b-89c6601046ef;51;0
60e4a326-fa36-434e-a0fc-7c81ff780f8a;69;0
7be4584b-288b-4027-a2fe-29d206313917;4981;1
f8b53480-3dd5-4961-84a6-4e1967f5aa81;52;0
35b4a519-be61-433e-a848-50454c185277;101;0
9c2d9e8b-302d-4de8-bc42-dca0efeb666d;138;0
53e42968-4b4f-4616-bfc6-8cdbb59a9a4a;69;0
45ee064a-cf3e-4bdf-b222-6d0ac88199d6;51;0
949e8027-ae59-4662-afce-4632bbf2d2c4;110;0
eeae9e4d-d61d-4aa0-9876-55a8787963ac;155;0
bb1a4fcc-630e-4c66-b071-e379c8cb345f;242;0
e53b103a-1b35-40c1-80b9-f92026187477;0;0
70568f71-d1b8-45c2-866f-abe5ed8911ab;58;0
0ecd4659-2e4a-4598-8d3c-23148262f4b0;54;0
284e3274-74a7-45f4-8d1e-541517e62ece;202;0
8b39c55c-9b84-4fb7-b7c4-7324cf780002;128;0
1eca2920-f444-4785-bbae-d4a0017ba873;460;0
69e9a7c3-6f64-430f-96ee-eb1548eb6aad;125;0
31e7facf-ee9e-46b4-9667-abc8385a1702;51;0
e64aa9d4-7543-4420-a5e3-a769a9454497;50;0
b0bb0bd1-1e10-485d-80e1-54370b7ef21a;143;0
326ce9d4-ce4a-48e6-90df-d1b7c6e58153;1052;1
cd0a5a19-b4d1-4508-b535-5ab4136da380;50;0
e5d834db-e02e-498e-aa7c-7a9dc8d35d2c;50;0
a6cc4ba8-3d4b-4f6e-8588-418c11ed095e;2315;0
2a300d53-ecd1-4e94-8e8d-515f485d0e6c;50;0
381fadb5-b53f-4718-bdf1-943866077b2d;511;0
b3d47127-6467-40ff-8fb0-a4985673b944;101;0
17a8b42c-6885-42d1-9bf6-015622042042;198;0
10f96270-be3d-4487-85d8-843c21f0fe77;50;0
5a226aa1-468c-4f67-96c8-e60653ba2fbb;50;0
2a1c8a11-67c7-4f6f-b005-a3756d4523d2;66;0
5354f2f2-6d04-46e5-889f-956c7aa09dc8;457;0
4a1d4be9-a067-47de-a3c3-c13884db1851;213;0
8694f99e-5b55-467e-82d5-0e0079cd664d;922;0
9803ea9d-efb7-4287-a036-bae1bfbb8fa0;100;0
7fe576d4-837d-4825-b379-906259122463;102;0
4b014dce-83d7-434c-b549-475ebf8415c5;105;0
bf4ddaa8-1c08-4212-9c64-069af66a3d54;359;0
65e54e94-4255-489a-948e-10a4da9c3029;308;0
de5eed84-c96e-4fb8-bf25-33c1b7230ccd;50;0
78a48b6c-979e-4ea2-85c8-78db87685bac;50;0
9d91d2fb-8f22-4556-b1ff-0e199363bf0c;125;0
b1d6f305-ddff-4a75-ae4b-7bdfcf082eab;50;0
252a0923-3f79-45bb-b664-3040235c6c58;1397;0
3884c92f-a635-4b67-9e5a-97730829cdca;114;0
b424b1e5-b549-4e9c-af55-118925afc5da;823;0
21c630c4-3099-4a7b-8f8a-4579c1abdca7;1837;1
8dcf976c-c817-485f-97ee-c0bbd9fd657d;54;0
bac46d3a-5186-42f7-8668-9ed8931d3148;205;0
7e17493b-89d4-4c55-8bed-4effa5160a3a;1;0
9477a7ef-b635-41ee-a437-084a90f1064e;509;0
db178922-7271-45f5-b2c5-15d7ce9c4197;111;0
5b175133-d13b-45d4-8ca4-7c95230f13ca;111;0
13e42683-f0b1-4154-81d5-82025f82bd43;103;0
d0c276c5-0953-499d-a130-85f5d1279612;110;0
71c4529c-1c59-4e5a-a3ec-65c726306eaa;50;0
1e67434d-0133-49e4-9919-c1873542035a;151;0
89af1f57-f17d-4021-b230-46496908c1aa;108;0
a4b242e4-c2b9-4dc9-8a22-5bd950c8be84;51;0
8076789f-07af-4e96-a055-13e90c747c5c;1;0
fecbdf63-3bf4-44e5-8b1a-0acc9d963603;111;0
678bc295-4df5-43fd-8253-edda5615aae9;50;0
fa992170-37d4-4c84-90bd-6d2b2eac5618;122;0
b88f7acf-5c33-4549-ae11-2f0b3ded6b43;115;0
7adde851-797b-411f-ab0c-f2f6a01bd7e4;2;0
38b5a905-9b56-4847-bc01-fafb144d754a;113;0
788fa8a0-575d-4ca9-91ff-6ce7ab42ea32;150;0
c295a1ef-46d3-4cd1-9898-ebc993f5a6a6;58;0
d33f353f-540c-4ce3-ad3f-e0dd6340b594;100;0
dc53f33d-a121-407f-9cdb-da2de83bcaa3;129;0
f68f9e5d-2243-4dcd-9640-f5a25cd2acc1;1652;0
9c49a075-02a6-4a14-bc38-7b3bf18aa723;1994;0
5ed09fff-c0eb-48db-b6e3-20ef238e8b5c;2889;1
